sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
PHOENIX1AZWDC,0.00900790139521,0.00900790139521,0.00987243821997,0.0113718203577,0.00182225925019,0.0199885467846,22153676833.5,9.96915457506e+12,5112000.0,135.806594,1.21900799106e+12,8.750146584e+12
AKRONOHWDC,0.0121607553527,0.0121607553527,0.00174679584702,0.0105088047397,0.00175009288866,0.0280696735091,29907681302.7,1.34584565862e+13,904500.0,125.500134,1.17073199993e+12,1.22877245863e+13
ORLANDOFLWDC,0.00195305602555,0.00195305602555,0.00162512847459,0.00210276352871,0.00154061366283,0.00258332444656,4803268833.6,2.16147097512e+12,841500.0,25.112,1.0305999906e+12,1.13087098452e+12
ELKRIDGEMDWDC,0.00527620769091,0.00527620769091,0.00301271588872,0.00465813978947,0.00140649986893,0.011189651263,12976096758.0,5.8392435411e+12,1560000.0,55.629273,9.40884004e+11,4.8983595371e+12
MIAMI2FLWDC,0.00816518761317,0.00816518761317,0.00625235108317,0.00739509452084,0.00120556757068,0.0188004402725,20081139849.4,9.03651293223e+12,3237500.0,88.315025,8.0646949783e+11,8.2300434344e+12
HARRISONNJWDC,0.00190737028607,0.00190737028607,0.0008342905538,0.00206037080445,0.000965430809256,0.00334678282074,4690911130.73,2.11091000883e+12,432000.0,24.60573,6.458290011e+11,1.46508100773e+12
OMAHA1NEWDC,0.000455599923587,0.000455599923587,0.000436457558238,0.000464055761496,0.000470286307588,0.000433157117291,1120484453.56,5.042180041e+11,226000.0,5.54193,3.146000038e+11,1.896180003e+11
PEARLCITYHIWDC,0.000393674158222,0.000393674158222,0.000675929846829,0.000529592952122,0.000183154539845,0.000715376969224,968186672.6,4.3568400267e+11,350000.0,6.3246,1.225219999e+11,3.1316200277e+11
LENEXA3KSWDC,0.00102242659345,0.00102242659345,0.00138662180007,0.00132310315854,0.0001830499005,0.00230510914672,2514515572.89,1.1315320078e+12,718000.0,15.801,1.2245200097e+11,1.00908000683e+12
WASHINGTONDCWDC,0.000114899787732,0.000114899787732,0.000240437902658,0.000100735536231,0.000164159218232,3.96246310389e-05,282579998.822,1.2716099947e+11,124500.0,1.203022,1.098149996e+11,17345999870.0
SPRINGFIELD2WDC,5.54191043266e-05,5.54191043266e-05,0.000157395092904,7.16406644085e-05,6.18801699538e-05,4.55457110991e-05,136295555.844,61333000130.0,81500.0,0.85556,41395000000.0,19938000130.0
HOUSTON1TXWDC,0.000110263534608,0.000110263534608,0.000371761415756,9.46210093758e-05,6.16335165979e-05,0.000184576862808,271177781.044,1.2203000147e+11,192500.0,1.13,41230000200.0,80800001270.0
STOCKTONCAWDC,0.0011877862023,0.0011877862023,0.00102258529685,0.00134603778397,5.59933697801e-05,0.00291732066802,2921194462.33,1.31453750805e+12,529500.0,16.074894,37457000260.0,1.27708050779e+12
PHOENIX2AZWDC,0.000141938434587,0.000141938434587,0.00275103447659,0.000180273956713,5.22546986796e-05,0.000278987466715,349077778.733,1.5708500043e+11,1424500.0,2.1529,34956000500.0,1.2212899993e+11
ST.PAULMNWDC,2.50733651084e-05,2.50733651084e-05,6.46961424822e-05,2.15099512287e-05,3.3272829856e-05,1.25434599225e-05,61664443.6222,27748999630.0,33500.0,0.25688,22257999500.0,5491000130.0
ORLANDO1FLWDC,0.000126047220621,0.000126047220621,0.000493428788185,0.000107934939014,3.21397180639e-05,0.000269550746704,309995554.889,1.394979997e+11,255500.0,1.289,21499999600.0,1.179980001e+11
MIAMI1FLWDC,0.000929003923062,0.000929003923062,0.00191867515093,0.0011284267119,2.75983016714e-05,0.00230647517486,2284755548.0,1.0281399966e+12,993500.0,13.4761,18462000000.0,1.0096779966e+12
MANHATTANNYWDC,8.2031261729e-06,8.2031261729e-06,3.66933345421e-05,7.1057028625e-06,1.12930002154e-05,3.48137542695e-06,20174444.4444,9078500000.0,19000.0,0.084859,7554500000.0,1524000000.0
TACOMAWAWDC,0.00147626452262,0.00147626452262,0.000590955808942,0.00128962817133,1.03773919512e-05,0.00371634083562,3630666646.98,1.63379999114e+12,306000.0,15.401229,6942000000.0,1.62685799114e+12
BUFFALONYWDC,3.70584145167e-05,3.70584145167e-05,0.00015256702257,5.04678319264e-05,9.99619993914e-06,7.84131850065e-05,91140000.6667,41013000300.0,79000.0,0.602706,6687000000.0,34326000300.0
MANHATTANNYWDCWDC,4.18040020256e-06,4.18040020256e-06,8.30428097532e-05,7.1493290093e-06,6.7882075555e-06,1.95313385173e-07,10281111.1111,4626500000.0,43000.0,0.08538,4541000000.0,85500000.0
SANJOSEWDC,3.47515814958e-06,3.47515814958e-06,9.75270207567e-05,4.50496487117e-06,5.53401109237e-06,3.28948859239e-07,8546666.66667,3846000000.0,50500.0,0.0538,3702000000.0,144000000.0
SPRINGFIELDMAWDC,6.04764261444e-06,6.04764261444e-06,2.51059657394e-05,5.26369138971e-06,4.95848589773e-06,7.7120232555e-06,14873333.3333,6693000000.0,13000.0,0.062861,3317000000.0,3376000000.0
CHARLOTTENCWDC,2.53001633355e-06,2.53001633355e-06,8.88364941546e-05,3.25730731391e-06,4.18563777921e-06,0.0,6222222.22222,2800000000.0,46000.0,0.0389,2800000000.0,0.0
AKRONWDC,2.03033810767e-06,2.03033810767e-06,6.17993002815e-05,2.60325005353e-06,3.35897431782e-06,0.0,4993333.33333,2247000000.0,32000.0,0.031089,2247000000.0,0.0
HARRISONWDC,9.79477751988e-07,9.79477751988e-07,1.54498250704e-05,1.26440463856e-06,1.40517839731e-06,3.28948859239e-07,2408888.88889,1084000000.0,8000.0,0.0151,940000000.0,144000000.0
BRANCHBURGNJWDC,4.11850516011e-06,4.11850516011e-06,4.82807033449e-05,4.22947538369e-06,1.30053745283e-06,8.42474578385e-06,10128888.8889,4558000000.0,25000.0,0.05051,870000000.0,3688000000.0
FAIRFAXWDC,6.77231157855e-07,6.77231157855e-07,2.12435094718e-05,1.09777117957e-06,1.03071330313e-06,1.37062024683e-07,1665555.55556,749500000.0,11000.0,0.01311,689500000.0,60000000.0
SANJOSECAWDC,0.00254215723082,0.00254215723082,0.00131902881538,0.00246130757012,9.20840311427e-07,0.00642551449961,6252081065.33,2.8134364794e+12,683000.0,29.393869,616000000.0,2.8128204794e+12
SPRINGFIELD1WDC,3.1444488717e-07,3.1444488717e-07,5.79368440139e-06,5.39256018036e-07,5.20214981131e-07,0.0,773333.333333,348000000.0,3000.0,0.00644,348000000.0,0.0
FTWORTHTXWDC,4.71793829222e-05,4.71793829222e-05,5.6971229947e-05,4.04442013527e-05,0.0,0.000119275942019,116031110.533,52213999740.0,29500.0,0.483,0.0,52213999740.0
RESTONVAWDC,3.355885951e-06,3.355885951e-06,2.60715798062e-05,2.88049798454e-06,0.0,8.48413932788e-06,8253333.33333,3714000000.0,13500.0,0.0344,0.0,3714000000.0
SEATTLEWAWDC,0.000433671906707,0.000433671906707,0.00019601965558,0.000428794781807,0.0,0.00109638197865,1066555555.11,4.799499998e+11,101500.0,5.12083,0.0,4.799499998e+11
ORLANDOWDC,3.61430904793e-08,3.61430904793e-08,1.9312281338e-06,4.64731506226e-08,0.0,9.1374683122e-08,88888.8888889,40000000.0,1000.0,0.000555,0.0,40000000.0
SANTAFESPRINGSCAWDC,0.000128026055096,0.000128026055096,0.00359208432886,0.000164801328294,0.0,0.000323667402555,314862222.222,1.41688e+11,1860000.0,1.96812,0.0,1.41688e+11
BAYAMONPRWDC,0.000429128721319,0.000429128721319,0.00020857263845,0.000451333841182,0.0,0.00108489618373,1055382224.44,4.74922001e+11,108000.0,5.39,0.0,4.74922001e+11
CHEYENNEWYWDC,0.000408064074646,0.000408064074646,0.000637305284153,0.000369217542475,0.0,0.00103164187179,1003576664.58,4.5160949906e+11,330000.0,4.409336,0.0,4.5160949906e+11
LENEXA1KSWDC,0.000184682157236,0.000184682157236,0.0006971733563,0.000158678595369,0.0,0.00046690178875,454200001.622,2.0439000073e+11,361000.0,1.895,0.0,2.0439000073e+11
ENGLEWOODCOWDC,9.46280330341e-05,9.46280330341e-05,0.000103320705158,8.12233443314e-05,0.0,0.000239232628375,232724446.156,1.0472600077e+11,53500.0,0.97,0.0,1.0472600077e+11
SANDIEGOCAWDC,8.94649918634e-05,8.94649918634e-05,0.00295864150098,0.000115147906932,0.0,0.000226179753132,220026666.667,99012000000.0,1532000.0,1.37514,0.0,99012000000.0
SNJSCASP-MSR01WDC,1.08429271438e-07,1.08429271438e-07,3.86245626759e-06,1.39838128901e-07,0.0,2.74124049366e-07,266666.666667,120000000.0,2000.0,0.00167,0.0,120000000.0
SNJSCASP-MSR02WDC,2.34930088115e-07,2.34930088115e-07,5.79368440139e-06,3.02284817563e-07,0.0,5.93935440293e-07,577777.777778,260000000.0,3000.0,0.00361,0.0,260000000.0
ONTARIOCAWDC,8.55651524006e-05,8.55651524006e-05,0.0027771060564,0.000110178712967,0.0,0.000216320424823,210435555.556,94696000000.0,1438000.0,1.315796,0.0,94696000000.0
LASVEGASNVWDC,7.45505455771e-05,7.45505455771e-05,0.00247197201126,9.59691494209e-05,0.0,0.000188473990142,183346666.667,82506000000.0,1280000.0,1.1461,0.0,82506000000.0
HOMEWOODALWDC,1.71788109048e-05,1.71788109048e-05,0.000517569139857,2.21237317586e-05,0.0,4.34303868879e-05,42248888.8889,19012000000.0,268000.0,0.26421,0.0,19012000000.0
NORTH,2.0621440273e-05,2.0621440273e-05,0.000602543177744,2.65466359313e-05,0.0,5.21338254553e-05,50715555.5556,22822000000.0,312000.0,0.31703,0.0,22822000000.0
INDIA,3.70466677413e-08,3.70466677413e-08,9.65614066898e-07,3.18194544804e-08,0.0,9.36590502001e-08,91111.1111111,41000000.0,500.0,0.00038,0.0,41000000.0
Total,100,100,100,100,100,100,2.45936049492e+14,1.10671222271e+17,51780521550.0,1194237.94721,6.6895420667e+16,4.37758016042e+16
